permno,adate,qdate,public_date,bm,TICKER
39693,2019/12/31,2019/12/31,2020/02/29,0.432,B
39693,2019/12/31,2019/12/31,2020/03/31,0.432,B
39693,2019/12/31,2019/12/31,2020/04/30,0.432,B
39693,2019/12/31,2020/03/31,2020/05/31,0.630,B
39693,2019/12/31,2020/03/31,2020/06/30,0.630,B
39693,2019/12/31,2020/03/31,2020/07/31,0.630,B
39693,2019/12/31,2020/06/30,2020/08/31,0.674,B
39693,2019/12/31,2020/06/30,2020/09/30,0.674,B
39693,2019/12/31,2020/06/30,2020/10/31,0.674,B
39693,2019/12/31,2020/09/30,2020/11/30,0.772,B
39693,2019/12/31,2020/09/30,2020/12/31,0.772,B
39693,2019/12/31,2020/09/30,2021/01/31,0.772,B
39693,2020/12/31,2020/12/31,2021/02/28,0.574,B
39693,2020/12/31,2020/12/31,2021/03/31,0.574,B
39693,2020/12/31,2020/12/31,2021/04/30,0.574,B
39693,2020/12/31,2021/03/31,2021/05/31,0.574,B
39693,2020/12/31,2021/03/31,2021/06/30,0.574,B
39693,2020/12/31,2021/03/31,2021/07/31,0.574,B
39693,2020/12/31,2021/06/30,2021/08/31,0.566,B
39693,2020/12/31,2021/06/30,2021/09/30,0.566,B
39693,2020/12/31,2021/06/30,2021/10/31,0.566,B
39693,2020/12/31,2021/09/30,2021/11/30,0.694,B
39693,2020/12/31,2021/09/30,2021/12/31,0.694,B
40125,2019/03/31,2019/09/30,2020/01/31,1.134,DXC
40125,2019/03/31,2019/12/31,2020/02/29,0.918,DXC
40125,2019/03/31,2019/12/31,2020/03/31,0.918,DXC
40125,2019/03/31,2019/12/31,2020/04/30,0.918,DXC
40125,2020/03/31,2020/03/31,2020/05/31,1.663,DXC
40125,2020/03/31,2020/03/31,2020/06/30,1.663,DXC
40125,2020/03/31,2020/03/31,2020/07/31,1.663,DXC
40125,2020/03/31,2020/06/30,2020/08/31,1.096,DXC
40125,2020/03/31,2020/06/30,2020/09/30,1.096,DXC
40125,2020/03/31,2020/06/30,2020/10/31,1.096,DXC
40125,2020/03/31,2020/09/30,2020/11/30,0.970,DXC
40125,2020/03/31,2020/09/30,2020/12/31,0.970,DXC
40125,2020/03/31,2020/09/30,2021/01/31,0.970,DXC
40125,2020/03/31,2020/12/31,2021/02/28,0.863,DXC
40125,2020/03/31,2020/12/31,2021/03/31,0.863,DXC
40125,2020/03/31,2020/12/31,2021/04/30,0.863,DXC
40125,2021/03/31,2021/03/31,2021/05/31,0.670,DXC
40125,2021/03/31,2021/03/31,2021/06/30,0.670,DXC
40125,2021/03/31,2021/03/31,2021/07/31,0.670,DXC
